TF 	ID 	TQ 	TA 	TR 	TS 	Ti 	TC 	Tw 	Tserv
304	3165	67	67	73	296	223	6	229	8
289	3157	64	64	69	282	213	5	218	7
278	3151	61	61	65	272	207	4	211	6
271	177	72	72	73	260	187	1	188	11
266	201	82	82	83	260	177	1	178	6
263	169	68	68	69	255	186	1	187	8
253	161	65	65	66	248	182	1	183	5
249	144	58	58	59	236	177	1	178	13
247	112	45	45	46	233	187	1	188	14
246	152	62	62	63	244	181	1	182	2
245	136	55	55	56	235	179	1	180	10
240	103	42	42	43	228	185	1	186	12
236	94	38	38	39	228	189	1	190	8
231	86	35	35	36	226	190	1	191	5
223	61	25	25	26	213	187	1	188	10
220	78	32	32	33	217	184	1	185	3
220	37	15	15	16	205	189	1	190	15
219	53	22	22	23	212	189	1	190	7
216	29	12	12	13	204	191	1	192	12
209	206	83	83	85	201	116	2	118	8
206	21	8	8	9	201	192	1	193	5
197	204	83	83	84	190	106	1	107	7
190	197	80	80	82	183	101	2	103	7
189	189	77	77	79	173	94	2	96	16
188	199	81	81	82	183	101	1	102	5
182	187	76	76	77	167	90	1	91	15
179	196	79	79	80	175	95	1	96	4
171	191	77	77	78	169	91	1	92	2
170	183	74	74	75	157	82	1	83	13
169	181	73	73	75	156	81	2	83	13
163	179	73	73	74	151	77	1	78	12
159	174	71	71	72	149	77	1	78	10
158	173	70	70	72	149	77	2	79	9
150	164	67	67	69	144	75	2	77	6
142	166	67	67	68	135	67	1	68	7
140	163	66	66	67	133	66	1	67	7
134	150	61	61	62	119	57	1	58	15
131	158	64	64	65	127	62	1	63	4
130	149	60	60	62	116	54	2	56	14
127	147	59	59	60	113	53	1	54	14
124	155	63	63	64	121	57	1	58	3
114	140	57	57	59	108	49	2	51	6
114	139	56	56	57	103	46	1	47	11
107	202	82	82	85	101	16	3	19	6
104	178	72	72	75	92	17	3	20	12
100	170	69	69	72	92	20	3	23	8
98	194	79	79	82	95	13	3	16	3
95	205	83	83	85	85	0	2	2	10
92	203	82	82	86	86	0	4	4	6
91	200	81	81	83	83	0	2	2	8
91	134	54	54	55	82	27	1	28	9
90	145	59	59	62	77	15	3	18	13
89	195	79	79	83	83	0	4	4	6
88	192	78	78	80	80	0	2	2	8
88	188	76	76	78	78	0	2	2	10
87	162	65	65	68	82	14	3	17	5
86	207	84	84	85	85	0	1	1	1
86	186	76	76	80	80	0	4	4	6
85	180	73	73	75	75	0	2	2	10
84	184	74	74	76	76	0	2	2	8
82	198	80	80	81	81	0	1	1	1
82	193	78	78	81	81	0	3	3	1
82	137	55	55	58	72	14	3	17	10
82	172	70	70	72	72	0	2	2	10
81	175	71	71	73	73	0	2	2	8
80	153	62	62	65	78	13	3	16	2
79	190	77	77	78	78	0	1	1	1
79	185	75	75	78	78	0	3	3	1
79	171	69	69	73	73	0	4	4	6
78	167	68	68	70	70	0	2	2	8
76	182	74	74	75	75	0	1	1	1
75	176	71	71	74	74	0	3	3	1
75	156	63	63	65	65	0	2	2	10
75	104	42	42	45	63	18	3	21	12
74	159	64	64	66	66	0	2	2	8
73	128	52	52	55	67	12	3	15	6
72	168	68	68	71	71	0	3	3	1
72	154	62	62	66	66	0	4	4	6
72	148	60	60	62	62	0	2	2	10
69	160	65	65	68	68	0	3	3	1
69	146	59	59	63	63	0	4	4	6
69	95	39	39	42	60	18	3	21	9
68	120	49	49	52	64	12	3	15	4
68	142	58	58	60	60	0	2	2	8
66	138	56	56	60	60	0	4	4	6
65	131	53	53	55	55	0	2	2	10
63	70	29	29	32	49	17	3	20	14
62	143	58	58	61	61	0	3	3	1
62	129	52	52	56	56	0	4	4	6
62	123	50	50	52	52	0	2	2	10
61	87	35	35	38	55	17	3	20	6
61	127	51	51	53	53	0	2	2	8
59	141	57	57	58	58	0	1	1	1
59	135	55	55	58	58	0	3	3	1
59	121	49	49	53	53	0	4	4	6
58	118	48	48	50	50	0	2	2	8
58	115	46	46	48	48	0	2	2	10
56	133	54	54	55	55	0	1	1	1
56	79	32	32	35	53	18	3	21	3
56	113	46	46	50	50	0	4	4	6
55	106	43	43	45	45	0	2	2	10
54	110	44	44	46	46	0	2	2	8
52	125	50	50	51	51	0	1	1	1
52	119	48	48	51	51	0	3	3	1
52	97	40	40	42	42	0	2	2	10
52	62	25	25	28	41	13	3	16	11
51	101	41	41	43	43	0	2	2	8
49	111	45	45	48	48	0	3	3	1
49	96	39	39	43	43	0	4	4	6
47	54	22	22	25	39	14	3	17	8
46	108	44	44	45	45	0	1	1	1
46	88	36	36	40	40	0	4	4	6
45	102	41	41	44	44	0	3	3	1
44	84	34	34	36	36	0	2	2	8
43	58	23	23	25	34	9	2	11	9
42	99	40	40	41	41	0	1	1	1
42	93	38	38	41	41	0	3	3	1
42	80	32	32	36	36	0	4	4	6
42	73	30	30	32	32	0	2	2	10
41	76	31	31	33	33	0	2	2	8
41	30	12	12	15	29	14	3	17	12
39	91	37	37	38	38	0	1	1	1
39	85	35	35	38	38	0	3	3	1
39	71	29	29	33	33	0	4	4	6
38	68	28	28	30	30	0	2	2	8
38	65	26	26	28	28	0	2	2	10
37	46	19	19	22	33	11	3	14	4
36	82	34	34	35	35	0	1	1	1
36	63	26	26	30	30	0	4	4	6
35	77	31	31	34	34	0	3	3	1
35	57	23	23	25	25	0	2	2	10
32	69	28	28	31	31	0	3	3	1
32	55	22	22	26	26	0	4	4	6
32	22	9	9	12	23	11	3	14	9
32	48	20	20	22	22	0	2	2	10
31	52	21	21	23	23	0	2	2	8
29	67	27	27	28	28	0	1	1	1
29	60	25	25	28	28	0	3	3	1
28	43	17	17	18	25	7	1	8	3
28	44	18	18	20	20	0	2	2	8
28	40	16	16	18	18	0	2	2	10
26	38	16	16	20	20	0	4	4	6
25	33	13	13	15	18	3	2	5	7
25	32	13	13	15	15	0	2	2	10
23	39	16	16	17	21	4	1	5	2
23	24	10	10	12	12	0	2	2	11
22	50	20	20	21	21	0	1	1	1
22	45	18	18	21	21	0	3	3	1
21	27	11	11	13	13	0	2	2	8
19	42	17	17	18	18	0	1	1	1
19	36	15	15	18	18	0	3	3	1
19	23	9	9	13	13	0	4	4	6
18	19	8	8	10	10	0	2	2	8
17	13	5	5	8	11	3	3	6	6
17	18	7	7	8	9	1	1	2	8
16	34	14	14	15	15	0	1	1	1
16	14	6	6	10	10	0	4	4	6
15	28	11	11	14	14	0	3	3	1
15	8	3	3	5	5	0	2	2	10
14	15	6	6	7	7	0	1	1	7
14	11	4	4	6	6	0	2	2	8
12	25	10	10	11	11	0	1	1	1
12	20	8	8	11	11	0	3	3	1
12	6	2	2	6	6	0	4	4	6
11	2	1	1	3	3	0	2	2	8
9	17	7	7	8	8	0	1	1	1
9	12	5	5	8	8	0	3	3	1
9	10	4	4	5	5	0	1	1	4
8	5	2	2	5	5	0	3	3	3
8	7	3	3	4	4	0	1	1	4
6	9	4	4	5	5	0	1	1	1
6	4	2	2	3	3	0	1	1	3
5	3	1	1	4	4	0	3	3	1
4	1	1	1	2	2	0	1	1	2

================ Statistics ================

1- Total number of orders and total number of each order type = 207
	ODG = 20
	ODN = 38
	OT  = 39
	OVC = 67
	OVG = 22
	OVN = 18
	Combo  = 3
2- Total number of chefs and total number of each type = 18
	CN = 12
	CS = 6
3- Total number of scooters and total number of each type  = 255
	Normal scooters count = 5
	Rescue scooters count = 250
	Rescue missions = 11
4- Percentage of finished orders and percentage of cancelled orders
	Finished Orders % = 84.058%
	Cancelled Orders % = 15.942%
5- Overwait Orders % = 9.66184%
6- Average for Ti TC Tw Tserv for all finished orders
	Average Ti = 34.023
	Average TC = 2.18966
	Average Tw = 36.2126
	Average Tserv = 6.37356
7- Scooters Utilization % = 77.8125% (Rescue scooters not counted in Utilization)
8- Chefs Utilization % = 7.72569%
