TF 	ID 	TQ 	TA 	TR 	TS 	Ti 	TC 	Tw 	Tserv
1083	273	39	39	44	1069	1025	5	1030	14
1056	266	38	38	43	1043	1000	5	1005	13
1023	259	37	37	42	1010	968	5	973	13
996	280	40	40	41	982	941	1	942	14
995	252	36	36	40	982	942	4	946	13
969	245	35	35	39	956	917	4	921	13
943	238	34	34	38	930	892	4	896	13
935	231	33	33	37	923	886	4	890	12
911	224	32	32	35	899	864	3	867	12
887	217	31	31	32	875	843	1	844	12
880	210	30	30	31	868	837	1	838	12
856	203	29	29	30	844	814	1	815	12
833	196	28	28	30	822	792	2	794	11
826	189	27	27	29	815	786	2	788	11
804	182	26	26	27	793	766	1	767	11
782	175	25	25	26	771	745	1	746	11
774	168	24	24	26	764	738	2	740	10
754	161	23	23	24	744	720	1	721	10
734	154	22	22	23	724	701	1	702	10
734	147	21	21	23	724	701	2	703	10
714	140	20	20	21	704	683	1	684	10
695	133	19	19	21	686	665	2	667	9
688	126	18	18	20	679	659	2	661	9
670	112	16	16	20	661	641	4	645	9
670	105	15	15	19	661	642	4	646	9
652	119	17	17	18	643	625	1	626	9
635	98	14	14	18	627	609	4	613	8
619	91	13	13	17	611	594	4	598	8
619	84	12	12	15	611	596	3	599	8
596	77	11	11	14	588	574	3	577	8
580	70	10	10	11	572	561	1	562	8
579	63	9	9	11	572	561	2	563	7
565	56	8	8	9	558	549	1	550	7
551	49	7	7	9	544	535	2	537	7
544	42	6	6	8	537	529	2	531	7
530	35	5	5	6	523	517	1	518	7
517	28	4	4	5	511	506	1	507	6
510	21	3	3	5	504	499	2	501	6
498	14	2	2	3	492	489	1	490	6
482	278	40	40	42	467	425	2	427	15
478	271	39	39	41	464	423	2	425	14
473	264	38	38	39	459	420	1	421	14
468	257	37	37	38	454	416	1	417	14
465	250	36	36	37	451	414	1	415	14
454	243	35	35	37	441	404	2	406	13
451	236	34	34	36	438	402	2	404	13
446	222	32	32	33	433	400	1	401	13
444	229	33	33	35	433	398	2	400	11
436	215	31	31	32	423	391	1	392	13
426	201	29	29	31	413	382	2	384	13
426	208	30	30	31	414	383	1	384	12
421	194	28	28	30	409	379	2	381	12
415	187	27	27	29	404	375	2	377	11
412	180	26	26	27	401	374	1	375	11
407	173	25	25	26	400	374	1	375	7
398	166	24	24	25	387	362	1	363	11
396	159	23	23	25	386	361	2	363	10
394	152	22	22	24	384	360	2	362	10
391	145	21	21	23	381	358	2	360	10
390	138	20	20	21	380	359	1	360	10
377	124	18	18	19	368	349	1	350	9
376	131	19	19	20	371	351	1	352	5
375	117	17	17	19	366	347	2	349	9
371	110	16	16	18	362	344	2	346	9
365	103	15	15	17	357	340	2	342	8
363	96	14	14	15	355	340	1	341	8
360	89	13	13	14	352	338	1	339	8
358	82	12	12	13	350	337	1	338	8
355	75	11	11	13	348	335	2	337	7
350	68	10	10	12	343	331	2	333	7
348	61	9	9	11	341	330	2	332	7
345	54	8	8	9	338	329	1	330	7
343	47	7	7	8	338	330	1	331	5
342	40	6	6	7	336	329	1	330	6
335	33	5	5	7	329	322	2	324	6
332	26	4	4	6	326	320	2	322	6
326	277	40	40	42	309	267	2	269	17
320	19	3	3	5	315	310	2	312	5
320	270	39	39	41	304	263	2	265	16
315	263	38	38	40	299	259	2	261	16
310	256	37	37	38	294	256	1	257	16
299	249	36	36	37	282	245	1	246	17
294	242	35	35	36	279	243	1	244	15
284	235	34	34	36	269	233	2	235	15
282	228	33	33	35	267	232	2	234	15
277	165	24	24	26	261	235	2	237	16
270	158	23	23	24	258	234	1	235	12
261	151	22	22	23	250	227	1	228	11
258	144	21	21	22	247	225	1	226	11
256	137	20	20	22	245	223	2	225	11
250	130	19	19	21	239	218	2	220	11
248	123	18	18	20	238	218	2	220	10
240	116	17	17	19	230	211	2	213	10
228	279	40	41	44	209	166	3	169	19
226	272	39	41	44	207	165	3	168	19
220	109	16	16	17	210	193	1	194	10
216	258	37	39	41	192	153	2	155	24
212	265	38	39	41	193	153	2	155	19
192	251	36	37	39	174	136	2	138	18
189	244	35	36	39	171	133	3	136	18
185	237	34	34	37	168	131	3	134	17
176	230	33	33	36	159	123	3	126	17
168	223	32	32	34	151	117	2	119	17
160	216	31	31	33	147	114	2	116	13
152	209	30	30	32	136	104	2	106	16
151	202	29	29	32	135	103	3	106	16
144	195	28	28	31	129	98	3	101	15
137	188	27	27	30	126	96	3	99	11
136	181	26	26	28	121	93	2	95	15
122	174	25	25	27	108	81	2	83	14
121	167	24	24	26	107	81	2	83	14
115	160	23	23	26	101	75	3	78	14
108	153	22	22	25	95	70	3	73	13
106	146	21	21	24	93	69	3	72	13
96	132	19	19	21	84	63	2	65	12
95	139	20	21	23	87	65	2	67	8
95	125	18	19	21	83	63	2	65	12
83	118	17	18	21	71	51	3	54	12
82	111	16	16	19	71	52	3	55	11
77	104	15	16	19	70	52	3	55	7
76	97	14	14	16	65	49	2	51	11
76	275	40	41	44	64	21	3	24	12
75	268	39	39	42	64	22	3	25	11
75	267	39	39	40	60	20	1	21	15
74	240	35	35	37	55	18	2	20	19
73	90	13	14	16	63	48	2	50	10
73	260	38	38	39	59	20	1	21	14
73	233	34	34	37	55	18	3	21	18
71	261	38	39	41	61	21	2	23	10
71	226	33	33	36	54	18	3	21	17
70	274	40	40	42	64	22	2	24	6
68	253	37	37	38	55	17	1	18	13
67	246	36	36	37	55	18	1	19	12
67	219	32	32	35	51	16	3	19	16
66	254	37	37	39	57	18	2	20	9
66	239	35	35	37	55	18	2	20	11
64	232	34	34	36	54	18	2	20	10
64	212	31	31	33	49	16	2	18	15
63	247	36	37	39	55	17	2	19	8
63	197	29	29	31	48	17	2	19	15
62	205	30	30	32	48	16	2	18	14
61	83	12	12	14	51	37	2	39	10
61	190	28	28	30	47	17	2	19	14
60	76	11	11	14	50	36	3	39	10
60	198	29	29	31	47	16	2	18	13
59	225	33	33	34	50	16	1	17	9
57	218	32	32	33	49	16	1	17	8
55	211	31	31	32	48	16	1	17	7
55	69	10	10	13	46	33	3	36	9
55	191	28	28	30	43	13	2	15	12
55	156	23	23	25	36	11	2	13	19
54	204	30	30	31	48	17	1	18	6
54	184	27	27	30	43	13	3	16	11
54	149	22	22	24	36	12	2	14	18
53	183	27	27	28	40	12	1	13	13
51	177	26	26	29	41	12	3	15	10
