TF 	ID 	TQ 	TA 	TR 	TS 	Ti 	TC 	Tw 	Tserv
675	186	67	67	69	667	598	2	600	8
674	173	62	62	63	667	604	1	605	7
660	172	62	62	63	653	590	1	591	7
647	179	64	64	66	624	558	2	560	23
638	174	63	63	64	618	554	1	555	20
636	183	66	66	67	632	565	1	566	4
629	165	59	59	60	614	554	1	555	15
619	160	58	58	60	606	546	2	548	13
616	156	56	56	57	604	547	1	548	12
611	146	53	53	54	586	532	1	533	25
603	151	54	54	56	597	541	2	543	6
601	142	51	51	53	578	525	2	527	23
594	137	49	49	50	574	524	1	525	20
587	132	48	48	50	570	520	2	522	17
583	128	46	46	47	569	522	1	523	14
575	123	44	44	46	564	518	2	520	11
572	109	39	39	40	547	507	1	508	25
569	118	43	43	44	560	516	1	517	9
558	114	41	41	43	552	509	2	511	6
555	100	36	36	37	536	499	1	500	19
552	95	34	34	36	535	499	2	501	17
547	91	33	33	34	533	499	1	500	14
536	86	31	31	33	525	492	2	494	11
526	72	26	26	27	501	474	1	475	25
525	81	29	29	30	517	487	1	488	8
521	67	24	24	26	499	473	2	475	22
516	77	28	28	30	511	481	2	483	5
516	63	23	23	24	497	473	1	474	19
511	58	21	21	23	495	472	2	474	16
498	53	19	19	20	485	465	1	466	13
493	35	13	13	14	469	455	1	456	24
490	49	18	18	20	479	459	2	461	11
480	44	16	16	17	472	455	1	456	8
478	30	11	11	13	457	444	2	446	21
476	26	9	9	10	457	447	1	448	19
470	21	8	8	10	455	445	2	447	15
466	16	6	6	7	453	446	1	447	13
458	12	4	4	6	450	444	2	446	8
449	7	3	3	4	441	437	1	438	8
448	181	65	65	66	424	358	1	359	24
438	185	67	67	69	431	362	2	364	7
435	178	64	64	65	413	348	1	349	22
434	176	63	63	65	413	348	2	350	21
427	169	61	61	62	410	348	1	349	17
426	171	62	62	63	411	348	1	349	15
415	167	60	60	62	399	337	2	339	16
411	162	58	58	59	398	339	1	340	13
403	157	57	57	59	393	334	2	336	10
400	159	57	57	58	389	331	1	332	11
388	141	51	51	52	366	314	1	315	22
385	153	55	55	56	381	325	1	326	4
384	150	54	54	55	378	323	1	324	6
383	139	50	50	52	362	310	2	312	21
376	148	53	53	55	371	316	2	318	5
371	134	48	48	49	353	304	1	305	18
365	130	47	47	49	350	301	2	303	15
362	131	47	47	48	346	298	1	299	16
358	125	45	45	46	345	299	1	300	13
355	122	44	44	45	344	299	1	300	11
343	120	43	43	45	333	288	2	290	10
339	116	42	42	43	332	289	1	290	7
339	106	38	38	39	316	277	1	278	23
335	113	41	41	42	331	289	1	290	4
330	102	37	37	39	310	271	2	273	20
329	111	40	40	42	325	283	2	285	4
323	104	37	37	38	300	262	1	263	23
313	97	35	35	36	295	259	1	260	18
307	94	34	34	35	291	256	1	257	16
301	92	33	33	35	286	251	2	253	15
298	88	32	32	33	286	253	1	254	12
295	69	25	25	26	264	238	1	239	31
282	83	30	30	32	273	241	2	243	9
280	85	31	31	32	274	242	1	243	6
274	66	24	24	25	253	228	1	229	21
273	74	27	27	29	269	240	2	242	4
271	65	23	23	25	251	226	2	228	20
269	76	27	27	28	264	236	1	237	5
256	60	22	22	23	239	216	1	217	17
253	57	21	21	22	237	215	1	216	16
240	55	20	20	22	225	203	2	205	15
232	51	18	18	19	220	201	1	202	12
232	180	65	65	69	209	140	4	144	23
230	175	63	63	65	209	144	2	146	21
227	48	17	17	18	217	199	1	200	10
221	170	61	61	65	203	138	4	142	18
216	184	66	66	68	212	144	2	146	4
211	166	60	60	62	203	141	2	143	8
202	143	51	51	55	179	124	4	128	23
200	161	58	58	62	188	126	4	130	12
193	152	55	55	59	186	127	4	131	7
190	147	53	53	55	186	131	2	133	4
189	138	50	50	52	169	117	2	119	20
184	133	48	48	52	166	114	4	118	18
171	129	46	46	48	156	108	2	110	15
167	124	45	45	49	155	106	4	110	12
161	110	40	40	42	136	94	2	96	25
160	119	43	43	45	151	106	2	108	9
156	105	38	38	42	133	91	4	95	23
146	101	36	36	38	126	88	2	90	20
144	115	41	41	45	139	94	4	98	5
139	96	35	35	39	122	83	4	87	17
127	87	31	31	35	115	80	4	84	12
124	82	30	30	32	115	83	2	85	9
117	73	26	26	28	92	64	2	66	25
114	68	25	25	29	92	63	4	67	22
110	78	28	28	32	103	71	4	75	7
106	64	23	23	25	86	61	2	63	20
98	59	21	21	25	81	56	4	60	17
84	54	20	20	22	76	54	2	56	8
81	50	18	18	22	70	48	4	52	11
81	36	13	13	15	56	41	2	43	25
72	31	11	11	15	50	35	4	39	22
69	177	64	64	65	65	0	1	1	4
68	182	65	65	67	67	0	2	2	1
68	45	16	16	18	60	42	2	44	8
67	164	59	59	61	61	0	2	2	6
65	168	60	60	61	61	0	1	1	4
64	40	15	15	19	58	39	4	43	6
64	155	56	56	58	58	0	2	2	6
62	163	59	59	61	61	0	2	2	1
62	158	57	57	58	58	0	1	1	4
61	22	8	8	12	45	33	4	37	16
60	145	52	52	54	54	0	2	2	6
59	149	54	54	55	55	0	1	1	4
58	154	55	55	57	57	0	2	2	1
58	17	6	6	8	44	36	2	38	14
57	136	49	49	51	51	0	2	2	6
55	144	52	52	54	54	0	2	2	1
55	140	50	50	51	51	0	1	1	4
54	127	46	46	48	48	0	2	2	6
52	135	49	49	51	51	0	2	2	1
49	121	44	44	45	45	0	1	1	4
49	13	5	5	9	38	29	4	33	11
48	126	45	45	47	47	0	2	2	1
47	108	39	39	41	41	0	2	2	6
45	117	42	42	44	44	0	2	2	1
45	112	40	40	41	41	0	1	1	4
44	99	36	36	38	38	0	2	2	6
42	107	39	39	41	41	0	2	2	1
42	103	37	37	38	38	0	1	1	4
41	8	3	3	5	33	28	2	30	8
40	90	32	32	34	34	0	2	2	6
39	93	34	34	35	35	0	1	1	4
38	98	35	35	37	37	0	2	2	1
37	80	29	29	31	31	0	2	2	6
36	27	10	10	12	16	4	2	6	20
35	89	32	32	34	34	0	2	2	1
35	84	30	30	31	31	0	1	1	4
34	71	26	26	28	28	0	2	2	6
33	23	8	8	9	16	7	1	8	17
32	79	29	29	31	31	0	2	2	1
32	75	27	27	28	28	0	1	1	4
30	62	22	22	24	24	0	2	2	6
30	18	7	7	9	16	7	2	9	14
30	20	7	7	8	15	7	1	8	15
28	70	25	25	27	27	0	2	2	1
28	3	1	1	5	24	19	4	23	4
25	61	22	22	24	24	0	2	2	1
25	56	20	20	21	21	0	1	1	4
24	43	16	16	18	18	0	2	2	6
23	11	4	4	5	13	8	1	9	10
22	52	19	19	21	21	0	2	2	1
22	47	17	17	18	18	0	1	1	4
20	34	12	12	14	14	0	2	2	6
19	38	14	14	15	15	0	1	1	4
18	42	15	15	17	17	0	2	2	1
17	25	9	9	11	11	0	2	2	6
16	9	3	3	5	10	5	2	7	6
15	33	12	12	14	14	0	2	2	1
15	28	10	10	11	11	0	1	1	4
14	15	6	6	8	8	0	2	2	6
12	24	9	9	11	11	0	2	2	1
12	19	7	7	8	8	0	1	1	4
10	6	2	2	4	4	0	2	2	6
10	5	2	2	4	4	0	2	2	6
9	10	4	4	5	5	0	1	1	4
9	4	2	2	3	3	0	1	1	6
8	14	5	5	7	7	0	2	2	1
8	2	1	1	3	3	0	2	2	5
6	1	1	1	2	2	0	1	1	4

================ Statistics ================

1- Total number of orders and total number of each order type = 186
	ODG = 17
	ODN = 16
	OT  = 18
	OVC = 57
	OVG = 37
	OVN = 37
	Combo  = 4
2- Total number of chefs and total number of each type = 16
	CN = 11
	CS = 5
3- Total number of scooters and total number of each type  = 206
	Normal scooters count = 6
	Rescue scooters count = 200
	Rescue missions = 19
4- Percentage of finished orders and percentage of cancelled orders
	Finished Orders % = 96.7742%
	Cancelled Orders % = 3.22581%
5- Overwait Orders % = 19.8925%
6- Average for Ti TC Tw Tserv for all finished orders
	Average Ti = 194.539
	Average TC = 1.82222
	Average Tw = 196.361
	Average Tserv = 11
7- Scooters Utilization % = 86.4734% (Rescue scooters not counted in Utilization)
8- Chefs Utilization % = 3.125%
