TF 	ID 	TQ 	TA 	TR 	TS 	Ti 	TC 	Tw 	Tserv
82	1133	48	48	51	67	16	3	19	15
82	1137	49	49	50	67	17	1	18	15
80	1119	43	43	45	69	24	2	26	11
79	1140	50	50	51	67	16	1	17	12
79	1136	49	49	51	67	16	2	18	12
79	1132	48	48	51	67	16	3	19	12
78	1138	50	50	52	74	22	2	24	4
76	1110	40	40	42	67	25	2	27	9
74	1120	43	43	46	62	16	3	19	12
73	1129	46	46	48	71	23	2	25	2
73	1139	50	50	53	68	15	3	18	5
73	1101	36	36	38	67	29	2	31	6
73	1131	47	47	48	64	16	1	17	9
73	1124	45	45	48	64	16	3	19	9
73	1122	44	44	45	58	13	1	14	15
73	1118	43	43	44	58	14	1	15	15
72	1126	45	45	47	59	12	2	14	13
71	1128	46	46	47	62	15	1	16	9
70	1127	46	46	48	64	16	2	18	6
70	1121	44	44	45	58	13	1	14	12
70	1115	41	41	44	55	11	3	14	15
67	1130	47	47	50	65	15	3	18	2
67	1123	44	44	47	61	14	3	17	6
67	1111	40	40	43	58	15	3	18	9
67	1114	41	41	44	55	11	3	14	12
67	1104	37	37	38	52	14	1	15	15
67	1096	35	35	38	52	14	3	17	15
65	1135	49	49	51	62	11	2	13	3
64	1103	37	37	38	52	14	1	15	12
64	1099	36	36	38	52	14	2	16	12
64	1100	36	36	37	49	12	1	13	15
62	1113	41	41	42	53	11	1	12	9
62	1105	38	38	41	53	12	3	15	9
61	1102	37	37	40	55	15	3	18	6
61	1109	39	39	40	52	12	1	13	9
61	1083	30	30	33	48	15	3	18	13
59	1112	40	40	41	53	12	1	13	6
59	1108	39	39	41	53	12	2	14	6
58	1095	34	34	37	46	9	3	12	12
58	1082	30	30	32	45	13	2	15	13
56	1117	42	42	44	45	1	2	3	11
55	1092	33	33	36	52	16	3	19	3
55	1094	34	34	35	46	11	1	12	9
55	1091	33	33	34	46	12	1	13	9
55	1085	31	31	32	40	8	1	9	15
55	1078	28	28	31	40	9	3	12	15
53	1087	31	31	34	44	10	3	13	9
52	1093	34	34	35	46	11	1	12	6
52	1084	30	30	31	40	9	1	10	12
52	1080	29	29	31	40	9	2	11	12
52	1077	28	28	31	40	9	3	12	12
52	1081	29	29	30	37	7	1	8	15
51	1074	27	27	30	40	10	3	13	11
50	1134	48	48	49	50	1	1	2	0
50	1090	32	32	34	44	10	2	12	6
49	1086	31	31	34	43	9	3	12	6
49	1107	39	39	41	41	0	2	2	8
49	1073	26	26	28	39	11	2	13	10
47	1125	45	45	46	47	1	1	2	0
46	1065	23	23	26	38	12	3	15	8
46	1066	24	24	25	31	6	1	7	15
46	1063	23	23	24	31	7	1	8	15
46	1059	21	21	24	31	7	3	10	15
44	1116	42	42	43	44	1	1	2	0
44	1064	23	23	25	36	11	2	13	8
44	1076	27	27	28	35	7	1	8	9
44	1068	25	25	28	35	7	3	10	9
43	1098	35	35	37	38	1	2	3	5
43	1072	26	26	27	34	7	1	8	9
43	1079	29	29	31	31	0	2	2	12
43	1062	22	22	24	31	7	2	9	12
41	1075	27	27	28	35	7	1	8	6
41	1071	26	26	28	35	7	2	9	6
40	1106	38	38	39	40	1	1	2	0
40	1067	24	24	27	34	7	3	10	6
40	1058	21	21	24	28	4	3	7	12
37	1097	35	35	36	37	1	1	2	0
37	1048	17	17	18	22	4	1	5	15
37	1040	15	15	18	22	4	3	7	15
36	1089	32	32	34	34	0	2	2	2
36	1055	20	20	23	31	8	3	11	5
36	1070	25	25	27	27	0	2	2	9
35	1057	21	21	22	26	4	1	5	9
35	1050	18	18	21	26	5	3	8	9
34	1088	32	32	33	34	1	1	2	0
34	1053	19	19	20	25	5	1	6	9
34	1047	17	17	18	22	4	1	5	12
34	1043	16	16	18	22	4	2	6	12
34	1044	16	16	17	19	2	1	3	15
32	1056	20	20	21	26	5	1	6	6
31	1049	18	18	21	25	4	3	7	6
31	1061	22	22	24	24	0	2	2	7
31	1042	15	15	17	17	0	2	2	14
31	1029	11	11	12	16	4	1	5	15
31	1022	8	8	11	16	5	3	8	15
29	1054	20	20	22	24	2	2	4	5
28	1039	14	14	15	19	4	1	5	9
28	1035	13	13	14	19	5	1	6	9
28	1037	13	13	16	16	0	3	3	12
28	1028	10	10	11	16	5	1	6	12
28	1025	9	9	11	16	5	2	7	12
27	1069	25	25	26	27	1	1	2	0
27	1052	19	19	21	23	2	2	4	4
27	1036	13	13	15	15	0	2	2	12
26	1031	11	11	14	17	3	3	6	9
25	1038	14	14	15	19	4	1	5	6
25	1033	12	12	14	14	0	2	2	11
25	1021	8	8	11	13	2	3	5	12
25	1026	9	9	10	10	0	1	1	15
24	1060	22	22	23	24	1	1	2	0
23	1034	12	12	14	17	3	2	5	6
22	1046	17	17	20	20	0	3	3	2
22	1030	11	11	14	16	2	3	5	6
22	1027	10	10	13	13	0	3	3	9
21	1045	16	16	18	19	1	2	3	2
20	1051	18	18	19	20	1	1	2	0
20	1011	4	4	5	5	0	1	1	15
19	1024	9	9	11	11	0	2	2	8
19	1007	3	3	4	4	0	1	1	15
19	1003	1	1	4	4	0	3	3	15
17	1041	15	15	16	17	1	1	2	0
17	1018	7	7	10	10	0	3	3	7
17	1020	7	7	8	8	0	1	1	9
17	1013	5	5	8	8	0	3	3	9
17	1010	4	4	5	5	0	1	1	12
16	1016	6	6	7	7	0	1	1	9
16	1006	2	2	4	4	0	2	2	12
16	1002	1	1	4	4	0	3	3	12
14	1032	12	12	13	14	1	1	2	0
14	1017	6	6	8	8	0	2	2	6
14	1019	7	7	8	8	0	1	1	6
14	1015	6	6	8	8	0	2	2	6
13	1014	5	5	7	7	0	2	2	6
13	1012	4	4	7	7	0	3	3	6
11	1001	1	1	2	2	0	1	1	9
10	1023	8	8	9	10	1	1	2	0
10	1009	3	3	6	6	0	3	3	4
9	1008	3	3	5	5	0	2	2	4
7	1005	2	2	4	4	0	2	2	3
4	1004	2	2	3	4	1	1	2	0

================ Statistics ================

1- Total number of orders and total number of each order type = 140
	ODG = 28
	ODN = 56
	OT  = 13
	OVC = 15
	OVG = 15
	OVN = 13
	COMBO = 0
2- Total number of chefs and total number of each type = 18
	CN = 12
	CS = 6
3- Total number of scooters = 9
4- Percentage of finished orders and percentage of cancelled orders
	Finished Orders % = 100%
	Cancelled Orders % = 0%
5- Overwait Orders % = 5%
6- Average for Ti TC Tw Tserv for all finished orders
	Average Ti = 6.88571
	Average TC = 1.90714
	Average Tw = 8.79286
	Average Tserv = 8.70714
7- Scooters Utilization % = 85.6369%
8- Chefs Utilization % = 18.0894%
