================================================================
                    RESTAURANT SIMULATOR                       
                        ORDER LOG                              
================================================================

TF    ID    TQ    TA    TR    TS    Ti    TC    Tw    Tserv
----------------------------------------------------------------
165   273   39    39    44    151   107   5     112   14    
163   266   38    38    43    150   107   5     112   13    
159   259   37    37    42    146   104   5     109   13    
158   280   40    40    41    144   103   1     104   14    
150   252   36    36    40    137   97    4     101   13    
150   245   35    35    39    137   98    4     102   13    
149   238   34    34    38    136   98    4     102   13    
145   231   33    33    37    133   96    4     100   12    
145   224   32    32    35    133   98    3     101   12    
143   217   31    31    32    131   99    1     100   12    
139   210   30    30    31    127   96    1     97    12    
135   278   40    40    42    120   78    2     80    15    
134   203   29    29    30    122   92    1     93    12    
133   271   39    39    41    119   78    2     80    14    
131   264   38    38    39    117   78    1     79    14    
130   257   37    37    38    116   78    1     79    14    
128   250   36    36    37    114   77    1     78    14    
127   243   35    35    37    114   77    2     79    13    
126   196   28    28    30    115   85    2     87    11    
125   189   27    27    29    114   85    2     87    11    
123   236   34    34    36    110   74    2     76    13    
122   182   26    26    27    111   84    1     85    11    
121   215   31    31    32    108   76    1     77    13    
121   229   33    33    35    110   75    2     77    11    
121   222   32    32    33    108   75    1     76    13    
119   201   29    29    31    106   75    2     77    13    
119   208   30    30    31    107   76    1     77    12    
118   194   28    28    30    106   76    2     78    12    
116   187   27    27    29    105   76    2     78    11    
116   180   26    26    27    105   78    1     79    11    
114   166   24    24    25    103   78    1     79    11    
112   159   23    23    25    102   77    2     79    10    
111   277   40    40    42    91    49    2     51    20    
110   173   25    25    26    103   77    1     78    7     
110   152   22    22    24    100   76    2     78    10    
110   145   21    21    23    100   77    2     79    10    
109   138   20    20    21    99    78    1     79    10    
106   124   18    18    19    97    78    1     79    9     
106   117   17    17    19    97    78    2     80    9     
106   110   16    16    18    97    79    2     81    9     
106   270   39    39    41    90    49    2     51    16    
104   263   38    38    40    88    48    2     50    16    
103   131   19    19    20    98    78    1     79    5     
103   103   15    15    17    95    78    2     80    8     
103   96    14    14    15    95    80    1     81    8     
103   175   25    25    26    92    66    1     67    11    
102   89    13    13    14    94    80    1     81    8     
102   82    12    12    13    94    81    1     82    8     
100   75    11    11    13    93    80    2     82    7     
99    68    10    10    12    92    80    2     82    7     
99    61    9     9     11    92    81    2     83    7     
98    54    8     8     9     91    82    1     83    7     
98    256   37    37    38    82    44    1     45    16    
96    242   35    35    36    81    45    1     46    15    
96    235   34    34    36    81    45    2     47    15    
94    249   36    36    37    82    45    1     46    12    
94    228   33    33    35    79    44    2     46    15    
86    165   24    24    26    74    48    2     50    12    
84    158   23    23    24    69    45    1     46    15    
84    279   40    41    44    65    22    3     25    19    
84    168   24    24    26    74    48    2     50    10    
84    272   39    41    44    65    23    3     26    19    
82    161   23    23    24    72    48    1     49    10    
82    265   38    39    41    63    23    2     25    19    
80    151   22    22    23    69    46    1     47    11    
80    144   21    21    22    69    47    1     48    11    
80    258   37    39    41    62    23    2     25    18    
79    137   20    20    22    68    46    2     48    11    
79    251   36    37    39    61    23    2     25    18    
77    244   35    36    39    59    21    3     24    18    
76    275   40    41    44    64    21    3     24    12    
75    268   39    39    42    64    22    3     25    11    
75    267   39    39    40    60    20    1     21    15    
75    237   34    34    37    58    21    3     24    17    
75    230   33    33    36    58    22    3     25    17    
74    240   35    35    37    55    18    2     20    19    
73    260   38    38    39    59    20    1     21    14    
73    223   32    32    34    56    22    2     24    17    
73    233   34    34    37    55    18    3     21    18    
72    216   31    31    33    56    23    2     25    16    
72    209   30    30    32    56    24    2     26    16    
71    261   38    39    41    61    21    2     23    10    
71    226   33    33    36    54    18    3     21    17    
70    274   40    40    42    64    22    2     24    6     
70    202   29    29    32    54    22    3     25    16    
68    253   37    37    38    55    17    1     18    13    
68    188   27    27    30    53    23    3     26    15    
67    246   36    36    37    55    18    1     19    12    
