ID,Type,TQ,TA,TR,TS,TF,WaitTime,ServiceTime
36,OVG,15,15,18,23,31,8,8
33,OVG,10,10,13,23,31,13,8
29,OVN,9,9,10,19,24,10,5
31,ODG,9,9,12,12,24,3,12
22,OVG,6,6,9,14,23,8,9
25,OC,7,7,8,18,23,11,5
35,OVC,10,10,11,13,16,3,3
30,OVC,9,9,10,12,15,3,3
12,OVG,4,4,7,7,15,3,8
19,ODG,6,6,8,8,14,2,6
6,OVG,2,2,5,5,13,3,8
20,OVN,6,6,8,8,13,2,5
15,ODN,5,5,6,6,13,1,7
27,OT,8,8,9,9,10,1,1
16,OVC,5,5,6,6,10,1,4
4,OVC,2,2,4,4,8,2,4
10,ODN,3,3,4,4,8,1,4
5,OVN,2,2,3,3,8,1,5
17,OT,5,5,6,6,7,1,1
1,ODN,1,1,2,2,7,1,5
9,OT,3,3,4,4,5,1,1
2,OVC,1,1,2,2,3,1,1
3,OVC,1,-1,-1,-1,-1,0,0
7,OVC,2,-1,-1,-1,-1,0,0
8,OVC,3,3,4,-1,-1,0,0
11,OVC,3,3,4,-1,-1,0,0
13,OVC,4,-1,-1,-1,-1,0,0
14,OVC,4,-1,-1,-1,-1,0,0
21,OVC,6,-1,-1,-1,-1,0,0
23,OVC,7,-1,-1,-1,-1,0,0
24,OVC,7,-1,-1,-1,-1,0,0
26,OVC,8,-1,-1,-1,-1,0,0
28,OVC,8,-1,-1,-1,-1,0,0
32,OVC,9,-1,-1,-1,-1,0,0
34,OVC,10,10,11,-1,-1,0,0
